id_address,fulladdress,addresstype_nameaddresstype,flooraddress,descriptionaddress
0,Санкт-Петербург Новая Улица 4,Standart,1,
1,Санкт-Петербург Буденного Улица 19,Standart,1,
2,Санкт-Петербург Октябрьская Улица 3,Standart,1,
3,Санкт-Петербург Артезианский Переулок 20,Standart,1,
4,Санкт-Петербург Западная Улица 13,Standart,1,
5,Санкт-Петербург Лазурная Улица 8,Standart,1,
6,Санкт-Петербург Садовый Переулок 33,Standart,1,
7,Санкт-Петербург Кольцевая Улица 25,Standart,1,
8,Санкт-Петербург Таежный Переулок 20,Standart,1,
9,Санкт-Петербург Кирова Улица 13,Standart,1,
10,Санкт-Петербург Московская Улица 16,Standart,1,
11,Санкт-Петербург Южная Улица 35,Standart,1,
12,Санкт-Петербург Кленовый Переулок 17,Standart,1,
13,Санкт-Петербург Фрунзе Улица 8,Standart,1,
14,Санкт-Петербург Тополиная Улица 16,Standart,1,
15,Санкт-Петербург Липовая Улица 30,Standart,1,
16,Санкт-Петербург Матросова Улица 31,Standart,1,
17,Санкт-Петербург Нагорная Улица 27,Standart,1,
18,Санкт-Петербург Советский Переулок 18,Standart,1,
19,Санкт-Петербург Приозерная Улица 18,Standart,1,
20,Санкт-Петербург Овражный Переулок 33,Standart,1,
21,Санкт-Петербург Набережная Улица 3,Standart,1,
22,Санкт-Петербург Новостроек 2-й Переулок 35,Standart,1,
23,Санкт-Петербург Нагорный Переулок 21,Standart,1,
24,Санкт-Петербург Араса Улица 5,Standart,1,
25,Санкт-Петербург Молодежный Переулок 21,Standart,1,
26,Санкт-Петербург Мелиоратор Садовое неком-е товарищество 13,Standart,1,
27,Санкт-Петербург Гоголя Улица 6,Standart,1,
28,Санкт-Петербург Торфяная Улица 27,Standart,1,
29,Санкт-Петербург Молодежная Улица 2,Standart,1,
30,Санкт-Петербург Кировский Переулок 28,Standart,1,
31,Санкт-Петербург Шоссейная Улица 7,Standart,1,
32,Санкт-Петербург Лесной Переулок 13,Standart,1,
33,Санкт-Петербург Тургенева Улица 7,Standart,1,
34,Санкт-Петербург Зеленый Переулок 23,Standart,1,
35,Санкт-Петербург Центральная Улица 28,Standart,1,
36,Санкт-Петербург Садовая Улица 20,Standart,1,
37,Санкт-Петербург Набережная Улица 27,Standart,1,
38,Санкт-Петербург Набережная Улица 26,Standart,1,
39,Санкт-Петербург Почтовый Переулок 21,Standart,1,
40,Санкт-Петербург Центральная Улица 17,Standart,1,
41,Санкт-Петербург Тракторная Улица 33,Standart,1,
42,Санкт-Петербург А.Клеймюка Улица 30,Standart,1,
43,Санкт-Петербург Зейская Улица 1,Standart,1,
44,Санкт-Петербург Красильникова Переулок 32,Standart,1,
45,Санкт-Петербург Дальневосточная Улица 30,Standart,1,
46,Санкт-Петербург Уральская Улица 26,Standart,1,
47,Санкт-Петербург Историческая Улица 12,Standart,1,
48,Санкт-Петербург Клубная Улица 29,Standart,1,
49,Санкт-Петербург Рябиновая 3-я Улица 31,Standart,1,
50,Санкт-Петербург Заводская Улица 12,Standart,1,
51,Санкт-Петербург Железнодорожная Улица 23,Standart,1,
52,Санкт-Петербург Жемчужная Улица 7,Standart,1,
53,Санкт-Петербург Щорса Переулок 28,Standart,1,
54,Санкт-Петербург Железнодорожная Улица 4,Standart,1,
55,Санкт-Петербург Колотовка Улица 8,Standart,1,
56,Санкт-Петербург Гагарина Улица 25,Standart,1,
57,Санкт-Петербург Центральный Переулок 23,Standart,1,
58,Санкт-Петербург Пролетарская Улица 4,Standart,1,
59,Санкт-Петербург Кобяйская Улица 6,Standart,1,
60,Санкт-Петербург Набережный Проезд 3,Standart,1,
61,Санкт-Петербург Мира Улица 23,Standart,1,
62,Санкт-Петербург Комсомольская Улица 16,Standart,1,
63,Санкт-Петербург Луговой Переулок 5,Standart,1,
64,Санкт-Петербург Благоварская Улица 19,Standart,1,
65,Санкт-Петербург Деревенский Переулок 26,Standart,1,
66,Санкт-Петербург Родниковая Улица 22,Standart,1,
67,Санкт-Петербург Кузнечная Улица 34,Standart,1,
68,Санкт-Петербург Даниила Чёрного Улица 31,Standart,1,
69,Санкт-Петербург Озерная Улица 5,Standart,1,
70,Санкт-Петербург Толстого Улица 17,Standart,1,
71,Санкт-Петербург Короткий Переулок 2,Standart,1,
72,Санкт-Петербург Веселый Переулок 21,Standart,1,
73,Санкт-Петербург Ольховая Улица 11,Standart,1,
74,Санкт-Петербург Омская Улица 9,Standart,1,
75,Санкт-Петербург Котовского Переулок 17,Standart,1,
76,Санкт-Петербург Клубная Улица 6,Standart,1,
77,Санкт-Петербург Набережная Улица 7,Standart,1,
78,Санкт-Петербург Степная Улица 6,Standart,1,
79,Санкт-Петербург Чернолуцкого Улица 14,Standart,1,
80,Санкт-Петербург Песочный Просек 1,Standart,1,
81,Санкт-Петербург Школьная Улица 30,Standart,1,
82,Санкт-Петербург Луговая Улица 3,Standart,1,
83,Санкт-Петербург Солнечная Улица 33,Standart,1,
84,Санкт-Петербург Школьная Улица 8,Standart,1,
85,Санкт-Петербург Строителей Улица 26,Standart,1,
86,Санкт-Петербург Глазова Улица 22,Standart,1,
87,Санкт-Петербург Советский Переулок 12,Standart,1,
88,Санкт-Петербург Дружбы Улица 15,Standart,1,
89,Санкт-Петербург Нагорная Улица 22,Standart,1,
90,Санкт-Петербург Заводской Переулок 24,Standart,1,
91,Санкт-Петербург Заречная Улица 2,Standart,1,
92,Санкт-Петербург Чусовая Улица 18,Standart,1,
93,Санкт-Петербург Трактовая Улица 1,Standart,1,
94,Санкт-Петербург Дачная Улица 10,Standart,1,
